"","Day","Province","Death","Cases"
"138",29,"Kalimantan.Selatan",0,0
"139",30,"Bali",0,0
"140",30,"Jakarta",6.71,6.71
"141",30,"Jawa.Barat",1,1
"142",30,"Jawa.Tengah",2,2
"143",30,"Jawa.Timur",1.29,1.29
"144",30,"Kalimantan.Selatan",0.14,0.14
"145",31,"Bali",0,0
"146",31,"Jakarta",6.71,6.71
"147",31,"Jawa.Barat",1.14,1.14
"148",31,"Jawa.Tengah",2.43,2.43
"149",31,"Jawa.Timur",1.14,1.14
"150",31,"Kalimantan.Selatan",0.14,0.14
"151",32,"Bali",0,0
"152",32,"Jakarta",7.43,7.43
"153",32,"Jawa.Barat",1.14,1.14
"154",32,"Jawa.Tengah",2.14,2.14
"155",32,"Jawa.Timur",0.86,0.86
"156",32,"Kalimantan.Selatan",0.43,0.43
"157",33,"Bali",0,0
"158",33,"Jakarta",8.43,8.43
"159",33,"Jawa.Barat",1.86,1.86
"160",33,"Jawa.Tengah",1.43,1.43
"161",33,"Jawa.Timur",0.86,0.86
"162",33,"Kalimantan.Selatan",0.43,0.43
"163",34,"Bali",0,0
"164",34,"Jakarta",12.57,12.57
"165",34,"Jawa.Barat",2.14,2.14
"166",34,"Jawa.Tengah",1.29,1.29
"167",34,"Jawa.Timur",1,1
"168",34,"Kalimantan.Selatan",0.57,0.57
"169",35,"Bali",0,0
"170",35,"Jakarta",13.29,13.29
"171",35,"Jawa.Barat",2,2
"172",35,"Jawa.Tengah",1.14,1.14
"173",35,"Jawa.Timur",1.57,1.57
"174",35,"Kalimantan.Selatan",0.57,0.57
"175",36,"Bali",0,0
"176",36,"Jakarta",13.57,13.57
"177",36,"Jawa.Barat",1.86,1.86
"178",36,"Jawa.Tengah",1.14,1.14
"179",36,"Jawa.Timur",1.57,1.57
"180",36,"Kalimantan.Selatan",0.71,0.71
"181",37,"Bali",0,0
"182",37,"Jakarta",16.71,16.71
"183",37,"Jawa.Barat",2.43,2.43
"184",37,"Jawa.Tengah",1.14,1.14
"185",37,"Jawa.Timur",1.29,1.29
"186",37,"Kalimantan.Selatan",0.57,0.57
"187",38,"Bali",0,0
"188",38,"Jakarta",16.71,16.71
"189",38,"Jawa.Barat",3.71,3.71
"190",38,"Jawa.Tengah",0.71,0.71
"191",38,"Jawa.Timur",1.57,1.57
"192",38,"Kalimantan.Selatan",0.57,0.57
"193",39,"Bali",0,0
"194",39,"Jakarta",16.14,16.14
"195",39,"Jawa.Barat",3.71,3.71
"196",39,"Jawa.Tengah",0.86,0.86
"197",39,"Jawa.Timur",3.43,3.43
"198",39,"Kalimantan.Selatan",0.57,0.57
"199",40,"Bali",0,0
"200",40,"Jakarta",16.29,16.29
"201",40,"Jawa.Barat",3.43,3.43
"202",40,"Jawa.Tengah",0.86,0.86
"203",40,"Jawa.Timur",4,4
"204",40,"Kalimantan.Selatan",0.57,0.57
"205",41,"Bali",0,0
"206",41,"Jakarta",11.57,11.57
"207",41,"Jawa.Barat",2.71,2.71
"208",41,"Jawa.Tengah",1,1
"209",41,"Jawa.Timur",3.86,3.86
"210",41,"Kalimantan.Selatan",0.43,0.43
"211",42,"Bali",0,0
"212",42,"Jakarta",11,11
"213",42,"Jawa.Barat",3.14,3.14
"214",42,"Jawa.Tengah",1.57,1.57
"215",42,"Jawa.Timur",3.43,3.43
"216",42,"Kalimantan.Selatan",0.43,0.43
"217",43,"Bali",0,0
"218",43,"Jakarta",10.57,10.57
"219",43,"Jawa.Barat",3,3
"220",43,"Jawa.Tengah",1.43,1.43
"221",43,"Jawa.Timur",3.43,3.43
"222",43,"Kalimantan.Selatan",0.29,0.29
"223",44,"Bali",0.14,0.14
"224",44,"Jakarta",6.29,6.29
"225",44,"Jawa.Barat",2.57,2.57
"226",44,"Jawa.Tengah",1.71,1.71
"227",44,"Jawa.Timur",4.14,4.14
"228",44,"Kalimantan.Selatan",0.29,0.29
"229",45,"Bali",0.14,0.14
"230",45,"Jakarta",6,6
"231",45,"Jawa.Barat",1.57,1.57
"232",45,"Jawa.Tengah",1.71,1.71
"233",45,"Jawa.Timur",4.29,4.29
"234",45,"Kalimantan.Selatan",0.29,0.29
"235",46,"Bali",0.14,0.14
"236",46,"Jakarta",4.86,4.86
"237",46,"Jawa.Barat",2.29,2.29
"238",46,"Jawa.Tengah",1.71,1.71
"239",46,"Jawa.Timur",2.57,2.57
"240",46,"Kalimantan.Selatan",0,0
"241",47,"Bali",0.29,0.29
"242",47,"Jakarta",3.71,3.71
"243",47,"Jawa.Barat",2.29,2.29
"244",47,"Jawa.Tengah",1.57,1.57
"245",47,"Jawa.Timur",2,2
"246",47,"Kalimantan.Selatan",0,0
"247",48,"Bali",0.29,0.29
"248",48,"Jakarta",3.57,3.57
"249",48,"Jawa.Barat",2.57,2.57
"250",48,"Jawa.Tengah",1.43,1.43
"251",48,"Jawa.Timur",2.14,2.14
"252",48,"Kalimantan.Selatan",0.14,0.14
"253",49,"Bali",0.29,0.29
"254",49,"Jakarta",2.57,2.57
"255",49,"Jawa.Barat",2.43,2.43
"256",49,"Jawa.Tengah",1.29,1.29
"257",49,"Jawa.Timur",3,3
"258",49,"Kalimantan.Selatan",0.14,0.14
"259",50,"Bali",0.29,0.29
"260",50,"Jakarta",4.14,4.14
"261",50,"Jawa.Barat",2.43,2.43
"262",50,"Jawa.Tengah",1.43,1.43
"263",50,"Jawa.Timur",3.71,3.71
"264",50,"Kalimantan.Selatan",0.14,0.14
"265",51,"Bali",0.14,0.14
"266",51,"Jakarta",4.71,4.71
"267",51,"Jawa.Barat",2.29,2.29
"268",51,"Jawa.Tengah",1.14,1.14
"269",51,"Jawa.Timur",4.71,4.71
"270",51,"Kalimantan.Selatan",0.14,0.14
"271",52,"Bali",0.14,0.14
"272",52,"Jakarta",5.86,5.86
"273",52,"Jawa.Barat",2,2
"274",52,"Jawa.Tengah",1.14,1.14
"275",52,"Jawa.Timur",4.43,4.43
"276",52,"Kalimantan.Selatan",0.14,0.14
"277",53,"Bali",0.14,0.14
"278",53,"Jakarta",6,6
"279",53,"Jawa.Barat",1.43,1.43
"280",53,"Jawa.Tengah",1,1
"281",53,"Jawa.Timur",4.57,4.57
"282",53,"Kalimantan.Selatan",0.29,0.29
"283",54,"Bali",0,0
"284",54,"Jakarta",5.86,5.86
"285",54,"Jawa.Barat",1,1
"286",54,"Jawa.Tengah",1.14,1.14
"287",54,"Jawa.Timur",5.14,5.14
"288",54,"Kalimantan.Selatan",0.29,0.29
"289",55,"Bali",0,0
"290",55,"Jakarta",5.86,5.86
"291",55,"Jawa.Barat",1.14,1.14
"292",55,"Jawa.Tengah",1.14,1.14
"293",55,"Jawa.Timur",5.14,5.14
"294",55,"Kalimantan.Selatan",0.14,0.14
"295",56,"Bali",0,0
"296",56,"Jakarta",6.43,6.43
"297",56,"Jawa.Barat",0.86,0.86
"298",56,"Jawa.Tengah",0.86,0.86
"299",56,"Jawa.Timur",4.57,4.57
"300",56,"Kalimantan.Selatan",0.14,0.14
"301",57,"Bali",0,0
"302",57,"Jakarta",6.29,6.29
"303",57,"Jawa.Barat",1,1
"304",57,"Jawa.Tengah",0.71,0.71
"305",57,"Jawa.Timur",4.43,4.43
"306",57,"Kalimantan.Selatan",0.14,0.14
"307",58,"Bali",0,0
"308",58,"Jakarta",6,6
"309",58,"Jawa.Barat",1.14,1.14
"310",58,"Jawa.Tengah",0.86,0.86
"311",58,"Jawa.Timur",3.43,3.43
"312",58,"Kalimantan.Selatan",0.14,0.14
"313",59,"Bali",0,0
"314",59,"Jakarta",5.29,5.29
"315",59,"Jawa.Barat",1.43,1.43
"316",59,"Jawa.Tengah",0.71,0.71
"317",59,"Jawa.Timur",4.14,4.14
"318",59,"Kalimantan.Selatan",0.14,0.14
"319",60,"Bali",0,0
"320",60,"Jakarta",5,5
"321",60,"Jawa.Barat",1.43,1.43
"322",60,"Jawa.Tengah",0.71,0.71
"323",60,"Jawa.Timur",3.86,3.86
