"","Day","Province","Death","Cases"
"659",116,"Jawa.Timur",21.71,21.71
"660",116,"Kalimantan.Selatan",3.14,3.14
"661",117,"Bali",0.86,0.86
"662",117,"Jakarta",4.29,4.29
"663",117,"Jawa.Barat",0.86,0.86
"664",117,"Jawa.Tengah",3,3
"665",117,"Jawa.Timur",25.29,25.29
"666",117,"Kalimantan.Selatan",2.14,2.14
"667",118,"Bali",0.71,0.71
"668",118,"Jakarta",3.86,3.86
"669",118,"Jawa.Barat",0.57,0.57
"670",118,"Jawa.Tengah",3,3
"671",118,"Jawa.Timur",26.43,26.43
"672",118,"Kalimantan.Selatan",2.43,2.43
"673",119,"Bali",0.71,0.71
"674",119,"Jakarta",4,4
"675",119,"Jawa.Barat",0.29,0.29
"676",119,"Jawa.Tengah",5.14,5.14
"677",119,"Jawa.Timur",24.86,24.86
"678",119,"Kalimantan.Selatan",2.86,2.86
"679",120,"Bali",1,1
"680",120,"Jakarta",2.86,2.86
"681",120,"Jawa.Barat",0.29,0.29
"682",120,"Jawa.Tengah",7.86,7.86
"683",120,"Jawa.Timur",26.29,26.29
"684",120,"Kalimantan.Selatan",2.57,2.57
"685",121,"Bali",1,1
"686",121,"Jakarta",3.43,3.43
"687",121,"Jawa.Barat",0.29,0.29
"688",121,"Jawa.Tengah",10,10
"689",121,"Jawa.Timur",27.14,27.14
"690",121,"Kalimantan.Selatan",2.29,2.29
"691",122,"Bali",1.43,1.43
"692",122,"Jakarta",3.43,3.43
"693",122,"Jawa.Barat",0.43,0.43
"694",122,"Jawa.Tengah",12.43,12.43
"695",122,"Jawa.Timur",27.29,27.29
"696",122,"Kalimantan.Selatan",2.29,2.29
"697",123,"Bali",1.57,1.57
"698",123,"Jakarta",4,4
"699",123,"Jawa.Barat",0.57,0.57
"700",123,"Jawa.Tengah",9.86,9.86
"701",123,"Jawa.Timur",26.57,26.57
"702",123,"Kalimantan.Selatan",2.29,2.29
"703",124,"Bali",1.43,1.43
"704",124,"Jakarta",4.71,4.71
"705",124,"Jawa.Barat",0.71,0.71
"706",124,"Jawa.Tengah",11.57,11.57
"707",124,"Jawa.Timur",25,25
"708",124,"Kalimantan.Selatan",2.71,2.71
"709",125,"Bali",1.43,1.43
"710",125,"Jakarta",4.71,4.71
"711",125,"Jawa.Barat",1.29,1.29
"712",125,"Jawa.Tengah",11.71,11.71
"713",125,"Jawa.Timur",25.14,25.14
"714",125,"Kalimantan.Selatan",2.29,2.29
"715",126,"Bali",1.43,1.43
"716",126,"Jakarta",4,4
"717",126,"Jawa.Barat",1.29,1.29
"718",126,"Jawa.Tengah",12.29,12.29
"719",126,"Jawa.Timur",26,26
"720",126,"Kalimantan.Selatan",1.86,1.86
"721",127,"Bali",1.29,1.29
"722",127,"Jakarta",5.43,5.43
"723",127,"Jawa.Barat",1.43,1.43
"724",127,"Jawa.Tengah",9.86,9.86
"725",127,"Jawa.Timur",27.29,27.29
"726",127,"Kalimantan.Selatan",2.29,2.29
"727",128,"Bali",1,1
"728",128,"Jakarta",6.14,6.14
"729",128,"Jawa.Barat",1.43,1.43
"730",128,"Jawa.Tengah",9.14,9.14
"731",128,"Jawa.Timur",26.86,26.86
"732",128,"Kalimantan.Selatan",2.71,2.71
"733",129,"Bali",0.57,0.57
"734",129,"Jakarta",7,7
"735",129,"Jawa.Barat",1.29,1.29
"736",129,"Jawa.Tengah",7.57,7.57
"737",129,"Jawa.Timur",24.71,24.71
"738",129,"Kalimantan.Selatan",2.71,2.71
"739",130,"Bali",0.29,0.29
"740",130,"Jakarta",5.86,5.86
"741",130,"Jawa.Barat",1.14,1.14
"742",130,"Jawa.Tengah",7.71,7.71
"743",130,"Jawa.Timur",24,24
"744",130,"Kalimantan.Selatan",2.86,2.86
"745",131,"Bali",0.57,0.57
"746",131,"Jakarta",5.86,5.86
"747",131,"Jawa.Barat",1,1
"748",131,"Jawa.Tengah",6.71,6.71
"749",131,"Jawa.Timur",24.71,24.71
"750",131,"Kalimantan.Selatan",3.57,3.57
"751",132,"Bali",0.86,0.86
"752",132,"Jakarta",6,6
"753",132,"Jawa.Barat",0.43,0.43
"754",132,"Jawa.Tengah",7.29,7.29
"755",132,"Jawa.Timur",25.14,25.14
"756",132,"Kalimantan.Selatan",3.57,3.57
"757",133,"Bali",1.29,1.29
"758",133,"Jakarta",6.86,6.86
"759",133,"Jawa.Barat",0.57,0.57
"760",133,"Jawa.Tengah",4.57,4.57
"761",133,"Jawa.Timur",26.57,26.57
"762",133,"Kalimantan.Selatan",4.57,4.57
"763",134,"Bali",1.29,1.29
"764",134,"Jakarta",6.57,6.57
"765",134,"Jawa.Barat",0.57,0.57
"766",134,"Jawa.Tengah",4.29,4.29
"767",134,"Jawa.Timur",23,23
"768",134,"Kalimantan.Selatan",4.29,4.29
"769",135,"Bali",1.86,1.86
"770",135,"Jakarta",6.43,6.43
"771",135,"Jawa.Barat",0.57,0.57
"772",135,"Jawa.Tengah",6.57,6.57
"773",135,"Jawa.Timur",27.57,27.57
"774",135,"Kalimantan.Selatan",4.29,4.29
"775",136,"Bali",2.43,2.43
"776",136,"Jakarta",6.86,6.86
"777",136,"Jawa.Barat",0.57,0.57
"778",136,"Jawa.Tengah",10.86,10.86
"779",136,"Jawa.Timur",29.57,29.57
"780",136,"Kalimantan.Selatan",4.71,4.71
"781",137,"Bali",2.71,2.71
"782",137,"Jakarta",7.43,7.43
"783",137,"Jawa.Barat",1,1
"784",137,"Jawa.Tengah",12.57,12.57
"785",137,"Jawa.Timur",30.57,30.57
"786",137,"Kalimantan.Selatan",5.14,5.14
"787",138,"Bali",2.43,2.43
"788",138,"Jakarta",7.43,7.43
"789",138,"Jawa.Barat",0.86,0.86
"790",138,"Jawa.Tengah",21,21
"791",138,"Jawa.Timur",31.57,31.57
"792",138,"Kalimantan.Selatan",4.14,4.14
"793",139,"Bali",2.29,2.29
"794",139,"Jakarta",6.71,6.71
"795",139,"Jawa.Barat",1,1
"796",139,"Jawa.Tengah",28.71,28.71
"797",139,"Jawa.Timur",32,32
"798",139,"Kalimantan.Selatan",3.86,3.86
"799",140,"Bali",1.86,1.86
"800",140,"Jakarta",6.43,6.43
"801",140,"Jawa.Barat",0.86,0.86
"802",140,"Jawa.Tengah",34.43,34.43
"803",140,"Jawa.Timur",30.86,30.86
"804",140,"Kalimantan.Selatan",3.29,3.29
"805",141,"Bali",1.71,1.71
"806",141,"Jakarta",5.29,5.29
"807",141,"Jawa.Barat",0.71,0.71
"808",141,"Jawa.Tengah",35.57,35.57
"809",141,"Jawa.Timur",31.86,31.86
"810",141,"Kalimantan.Selatan",3.57,3.57
"811",142,"Bali",1.14,1.14
"812",142,"Jakarta",4.57,4.57
"813",142,"Jawa.Barat",0.71,0.71
"814",142,"Jawa.Tengah",33.71,33.71
"815",142,"Jawa.Timur",26.86,26.86
"816",142,"Kalimantan.Selatan",3.14,3.14
"817",143,"Bali",0.57,0.57
"818",143,"Jakarta",4.71,4.71
"819",143,"Jawa.Barat",0.71,0.71
"820",143,"Jawa.Tengah",28.71,28.71
"821",143,"Jawa.Timur",25,25
"822",143,"Kalimantan.Selatan",2.71,2.71
"823",144,"Bali",0.29,0.29
"824",144,"Jakarta",5.71,5.71
"825",144,"Jawa.Barat",0.14,0.14
"826",144,"Jawa.Tengah",28.29,28.29
"827",144,"Jawa.Timur",24.14,24.14
"828",144,"Kalimantan.Selatan",2.57,2.57
"829",145,"Bali",0.29,0.29
"830",145,"Jakarta",7,7
"831",145,"Jawa.Barat",0.43,0.43
"832",145,"Jawa.Tengah",21.57,21.57
"833",145,"Jawa.Timur",23.86,23.86
"834",145,"Kalimantan.Selatan",3.57,3.57
"835",146,"Bali",0,0
"836",146,"Jakarta",9.43,9.43
"837",146,"Jawa.Barat",0.57,0.57
"838",146,"Jawa.Tengah",15.86,15.86
"839",146,"Jawa.Timur",21.71,21.71
"840",146,"Kalimantan.Selatan",3.71,3.71
"841",147,"Bali",0,0
"842",147,"Jakarta",10.86,10.86
"843",147,"Jawa.Barat",0.57,0.57
"844",147,"Jawa.Tengah",11.29,11.29
"845",147,"Jawa.Timur",20.57,20.57
"846",147,"Kalimantan.Selatan",4.14,4.14
"847",148,"Bali",0,0
"848",148,"Jakarta",12.57,12.57
"849",148,"Jawa.Barat",0.57,0.57
"850",148,"Jawa.Tengah",12.29,12.29
"851",148,"Jawa.Timur",21,21
"852",148,"Kalimantan.Selatan",3.43,3.43
"853",149,"Bali",0,0
"854",149,"Jakarta",12,12
"855",149,"Jawa.Barat",0.57,0.57
"856",149,"Jawa.Tengah",13.86,13.86
"857",149,"Jawa.Timur",18.57,18.57
"858",149,"Kalimantan.Selatan",3.14,3.14
"859",150,"Bali",0,0
"860",150,"Jakarta",12.86,12.86
"861",150,"Jawa.Barat",0.57,0.57
"862",150,"Jawa.Tengah",14,14
"863",150,"Jawa.Timur",19,19
"864",150,"Kalimantan.Selatan",3,3
"865",151,"Bali",0,0
"866",151,"Jakarta",12.71,12.71
"867",151,"Jawa.Barat",1.29,1.29
"868",151,"Jawa.Tengah",12.43,12.43
"869",151,"Jawa.Timur",21.57,21.57
"870",151,"Kalimantan.Selatan",2.57,2.57
"871",152,"Bali",0,0
"872",152,"Jakarta",12.71,12.71
"873",152,"Jawa.Barat",1,1
"874",152,"Jawa.Tengah",12,12
"875",152,"Jawa.Timur",19.43,19.43
"876",152,"Kalimantan.Selatan",1.43,1.43
"877",153,"Bali",0,0
"878",153,"Jakarta",11.86,11.86
"879",153,"Jawa.Barat",0.86,0.86
"880",153,"Jawa.Tengah",12.14,12.14
"881",153,"Jawa.Timur",20,20
"882",153,"Kalimantan.Selatan",1.29,1.29
"883",154,"Bali",0.14,0.14
"884",154,"Jakarta",11.57,11.57
"885",154,"Jawa.Barat",1.43,1.43
"886",154,"Jawa.Tengah",12.14,12.14
"887",154,"Jawa.Timur",19.43,19.43
"888",154,"Kalimantan.Selatan",0.86,0.86
"889",155,"Bali",0.14,0.14
"890",155,"Jakarta",11.43,11.43
"891",155,"Jawa.Barat",1.86,1.86
"892",155,"Jawa.Tengah",11.57,11.57
"893",155,"Jawa.Timur",19.57,19.57
"894",155,"Kalimantan.Selatan",1.14,1.14
"895",156,"Bali",0.14,0.14
"896",156,"Jakarta",12.29,12.29
"897",156,"Jawa.Barat",2.43,2.43
"898",156,"Jawa.Tengah",8.57,8.57
"899",156,"Jawa.Timur",22.57,22.57
"900",156,"Kalimantan.Selatan",1.57,1.57
"901",157,"Bali",0.14,0.14
"902",157,"Jakarta",10.29,10.29
"903",157,"Jawa.Barat",2.43,2.43
"904",157,"Jawa.Tengah",9,9
"905",157,"Jawa.Timur",21.86,21.86
"906",157,"Kalimantan.Selatan",1.43,1.43
"907",158,"Bali",0.14,0.14
"908",158,"Jakarta",10,10
"909",158,"Jawa.Barat",2.29,2.29
"910",158,"Jawa.Tengah",9.29,9.29
"911",158,"Jawa.Timur",19.14,19.14
"912",158,"Kalimantan.Selatan",1.43,1.43
"913",159,"Bali",0.14,0.14
"914",159,"Jakarta",10.14,10.14
"915",159,"Jawa.Barat",2.43,2.43
"916",159,"Jawa.Tengah",10,10
"917",159,"Jawa.Timur",18.86,18.86
"918",159,"Kalimantan.Selatan",1.71,1.71
"919",160,"Bali",0.14,0.14
"920",160,"Jakarta",9.86,9.86
"921",160,"Jawa.Barat",2.43,2.43
"922",160,"Jawa.Tengah",9.14,9.14
"923",160,"Jawa.Timur",19.43,19.43
"924",160,"Kalimantan.Selatan",2.29,2.29
"925",161,"Bali",0,0
"926",161,"Jakarta",8.71,8.71
"927",161,"Jawa.Barat",2,2
"928",161,"Jawa.Tengah",9.29,9.29
"929",161,"Jawa.Timur",19,19
"930",161,"Kalimantan.Selatan",2.14,2.14
"931",162,"Bali",0,0
"932",162,"Jakarta",8,8
"933",162,"Jawa.Barat",1.57,1.57
"934",162,"Jawa.Tengah",8.57,8.57
"935",162,"Jawa.Timur",18.86,18.86
"936",162,"Kalimantan.Selatan",2.29,2.29
